feature_set,fold,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top30_full,3,Tree,weighted,0.45,0.7560975609756098,0.256198347107438,0.38271604938271603,0.7407838391361012,0.2946875451500136
top30_full,3,Tree,weighted,0.5,0.7560975609756098,0.256198347107438,0.38271604938271603,0.7407838391361012,0.2946875451500136
top30_full,3,Tree,smote,0.2,0.7804878048780488,0.23529411764705882,0.3615819209039548,0.7169986967045243,0.25876434501988554
top30_full,3,Tree,smote,0.25,0.6829268292682927,0.25925925925925924,0.37583892617449666,0.7169986967045243,0.25876434501988554
top30_full,3,Tree,smote,0.3,0.6829268292682927,0.25925925925925924,0.37583892617449666,0.7169986967045243,0.25876434501988554
top30_full,3,Tree,smote,0.35,0.6829268292682927,0.25925925925925924,0.37583892617449666,0.7169986967045243,0.25876434501988554
top30_full,3,Tree,smote,0.4,0.6585365853658537,0.2621359223300971,0.375,0.7169986967045243,0.25876434501988554
top30_full,3,Tree,smote,0.45,0.5609756097560976,0.2839506172839506,0.3770491803278688,0.7169986967045243,0.25876434501988554
top30_full,3,Tree,smote,0.5,0.5609756097560976,0.2839506172839506,0.3770491803278688,0.7169986967045243,0.25876434501988554
top30_full,3,RandomForest,weighted,0.2,0.975609756097561,0.19230769230769232,0.321285140562249,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,weighted,0.25,0.975609756097561,0.21052631578947367,0.3463203463203463,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,weighted,0.3,0.8780487804878049,0.21686746987951808,0.34782608695652173,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,weighted,0.35,0.8536585365853658,0.24305555555555555,0.3783783783783784,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,weighted,0.4,0.7804878048780488,0.26229508196721313,0.39263803680981596,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,weighted,0.45,0.7317073170731707,0.3,0.425531914893617,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,weighted,0.5,0.7073170731707317,0.3670886075949367,0.48333333333333334,0.8321541612362688,0.5145220857593846
top30_full,3,RandomForest,smote,0.2,0.9024390243902439,0.2,0.3274336283185841,0.8170731707317073,0.4800467162725064
top30_full,3,RandomForest,smote,0.25,0.8292682926829268,0.2125,0.3383084577114428,0.8170731707317073,0.4800467162725064
top30_full,3,RandomForest,smote,0.3,0.8292682926829268,0.23776223776223776,0.3695652173913043,0.8170731707317073,0.4800467162725064
top30_full,3,RandomForest,smote,0.35,0.7804878048780488,0.2601626016260163,0.3902439024390244,0.8170731707317073,0.4800467162725064
top30_full,3,RandomForest,smote,0.4,0.7560975609756098,0.2980769230769231,0.42758620689655175,0.8170731707317073,0.4800467162725064
top30_full,3,RandomForest,smote,0.45,0.7317073170731707,0.3448275862068966,0.46875,0.8170731707317073,0.4800467162725064
top30_full,3,RandomForest,smote,0.5,0.6585365853658537,0.38028169014084506,0.48214285714285715,0.8170731707317073,0.4800467162725064
top30_full,3,XGBoost,weighted,0.2,0.7073170731707317,0.35365853658536583,0.4715447154471545,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,weighted,0.25,0.6585365853658537,0.38571428571428573,0.4864864864864865,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,weighted,0.3,0.5853658536585366,0.38095238095238093,0.46153846153846156,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,weighted,0.35,0.5609756097560976,0.39655172413793105,0.46464646464646464,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,weighted,0.4,0.5609756097560976,0.4339622641509434,0.48936170212765956,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,weighted,0.45,0.5609756097560976,0.4423076923076923,0.4946236559139785,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,weighted,0.5,0.5609756097560976,0.46938775510204084,0.5111111111111111,0.8287097374790542,0.42257141731314884
top30_full,3,XGBoost,smote,0.2,0.6097560975609756,0.38461538461538464,0.4716981132075472,0.8302923105566933,0.48560645885605674
top30_full,3,XGBoost,smote,0.25,0.5853658536585366,0.41379310344827586,0.48484848484848486,0.8302923105566933,0.48560645885605674
top30_full,3,XGBoost,smote,0.3,0.5609756097560976,0.4423076923076923,0.4946236559139785,0.8302923105566933,0.48560645885605674
top30_full,3,XGBoost,smote,0.35,0.4878048780487805,0.43478260869565216,0.45977011494252873,0.8302923105566933,0.48560645885605674
top30_full,3,XGBoost,smote,0.4,0.4878048780487805,0.46511627906976744,0.47619047619047616,0.8302923105566933,0.48560645885605674
top30_full,3,XGBoost,smote,0.45,0.43902439024390244,0.4864864864864865,0.46153846153846156,0.8302923105566933,0.48560645885605674
top30_full,3,XGBoost,smote,0.5,0.43902439024390244,0.5,0.4675324675324675,0.8302923105566933,0.48560645885605674
top30_full,3,LightGBM,weighted,0.2,0.6829268292682927,0.3010752688172043,0.417910447761194,0.821355427294731,0.4414209103066916
