hogar_id,conglome,vivienda,hogar,ubigeo,departamento_codigo,provincia_codigo,distrito_codigo,dominio_geografico,estrato_geografico,area_urbana_rural,area_rural_bin,factor_expansion_anual,target_pobreza_monetaria_bin,nivel_educativo_jefe_ord,usa_combustible_limpio,num_habitaciones,num_miembros_afiliados_essalud,material_techo,num_ninos_0_5,tam_hogar,edad_jefe,piso_precario,tenencia_vivienda,num_ninos_6_16,acceso_internet_hogar,num_miembros_sin_atencion_salud,tipo_vivienda,material_pared,acceso_desague_red,num_6_16_no_matriculados
040102_015628_059_11,015628,059,11,040102,04,0401,040102,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,9.0,1,3.0,0,"planchas de calamina, fibra de cemento o similares",1,4,32.0,0,cedida por otro hogar o institucion,0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040102_015628_075_11,015628,075,11,040102,04,0401,040102,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,10.0,1,4.0,1,concreto armado,0,4,43.0,0,"propia, totalmente pagada",2,1,0,casa independiente,ladrillo o bloque de cemento,1,2
040102_015628_108_11,015628,108,11,040102,04,0401,040102,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,10.0,1,6.0,3,concreto armado,0,3,68.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040121_015659_007_11,015659,007,11,040121,04,0401,040121,costa sur,de 2 000 a 19 999 habitantes,urbana,0,179.28735,0,5.0,1,1.0,1,"planchas de calamina, fibra de cemento o similares",0,1,62.0,0,alquilada,0,0,0,casa independiente,ladrillo o bloque de cemento,1,0
040121_015659_026_11,015659,026,11,040121,04,0401,040121,costa sur,de 2 000 a 19 999 habitantes,urbana,0,179.28735,0,6.0,1,1.0,0,concreto armado,0,2,31.0,0,"propia, totalmente pagada",1,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040121_015659_045_11,015659,045,11,040121,04,0401,040121,costa sur,de 2 000 a 19 999 habitantes,urbana,0,179.28735,0,1.0,1,1.0,1,"planchas de calamina, fibra de cemento o similares",0,1,78.0,0,"propia, totalmente pagada",0,0,0,casa independiente,ladrillo o bloque de cemento,1,0
040121_015659_060_11,015659,060,11,040121,04,0401,040121,costa sur,de 2 000 a 19 999 habitantes,urbana,0,179.28735,0,3.0,1,2.0,0,concreto armado,0,1,57.0,0,"propia, totalmente pagada",0,1,1,casa independiente,ladrillo o bloque de cemento,1,0
040121_015659_084_11,015659,084,11,040121,04,0401,040121,costa sur,de 2 000 a 19 999 habitantes,urbana,0,179.28735,0,5.0,1,4.0,3,concreto armado,0,3,63.0,0,"propia, totalmente pagada",1,1,1,casa independiente,ladrillo o bloque de cemento,1,1
040121_015659_140_11,015659,140,11,040121,04,0401,040121,costa sur,de 2 000 a 19 999 habitantes,urbana,0,179.28735,1,4.0,0,2.0,2,concreto armado,0,2,70.0,0,"propia, totalmente pagada",0,0,1,casa independiente,ladrillo o bloque de cemento,1,0
040301_015675_027_11,015675,027,11,040301,04,0403,040301,costa sur,de 2 000 a 19 999 habitantes,urbana,0,317.91534,0,6.0,1,4.0,1,concreto armado,0,3,49.0,0,cedida por otro hogar o institucion,0,1,1,casa independiente,ladrillo o bloque de cemento,1,0
