usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,93633.0,4.0,1,conexion fija,ladrillo o bloque de cemento,7,1,1,0, de 500 000 a más habitantes,0,1,0,0,0.42800035233461947,1
0,1,,"planchas de calamina, fibra de cemento o similares",1.0,,0,4790.21826171875,2.0,0,,piedra o sillar con cal o cemento,1,0,0,0, de 500 000 a más habitantes,0,1,0,0,0.7757002111700176,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,72457.203125,5.0,1,conexion fija,ladrillo o bloque de cemento,6,1,1,2,de 2 000 a 19 999 habitantes,0,1,0,0,0.6580456839280231,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",1.0,conexion movil prepago,0,29222.41015625,3.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 500 000 a más habitantes,0,0,0,0,0.646236268883875,1
1,0,pase,concreto armado,5.0,conexion movil prepago,0,32025.94140625,6.0,1,pase,ladrillo o bloque de cemento,7,1,0,0, de 500 000 a más habitantes,0,1,0,0,0.9647868194220597,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",8.0,conexion movil prepago,0,32685.625,2.0,1,pase,ladrillo o bloque de cemento,3,0,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.42782188450404723,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,55502.17578125,7.0,1,conexion fija,ladrillo o bloque de cemento,7,0,2,0, de 500 000 a más habitantes,0,1,0,0,0.6590696150625629,1
0,1,conexion movil post pago control,concreto armado,3.0,conexion movil prepago,0,45389.51953125,5.0,1,pase,ladrillo o bloque de cemento,6,0,2,0, de 500 000 a más habitantes,0,1,0,0,0.8897084941045676,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,13503.32421875,2.0,1,pase,adobe,3,0,1,0,area de empadronamiento rural (aer) simple,1194,0,0,0,0.9352624006900183,1
1,0,,concreto armado,4.0,,0,23766.212890625,3.0,0,,ladrillo o bloque de cemento,2,0,0,1, de 500 000 a más habitantes,0,1,0,0,0.3851087714585338,1
1,0,,concreto armado,6.0,,0,22176.634765625,1.0,1,conexion fija,ladrillo o bloque de cemento,2,0,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,0.20147818828245248,1
0,1,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,26307.734375,2.0,1,pase,adobe,6,0,1,0, de 500 a 1 999 habitantes,0,0,0,0,0.9661100093529303,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,24782.41015625,3.0,1,conexion fija,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.7058400187092247,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,pase,0,31634.62109375,3.0,1,pase,piedra o sillar con cal o cemento,5,0,2,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.7912866826399817,1
0,1,conexion movil post pago control,concreto armado,5.0,conexion movil prepago,0,56219.77734375,4.0,1,pase,ladrillo o bloque de cemento,4,0,0,1, de 500 000 a más habitantes,0,0,0,0,0.21624864241111993,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,23422.626953125,2.0,1,pase,adobe,3,0,1,1,de 2 000 a 19 999 habitantes,0,1,0,0,0.6876227004962386,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",7.0,conexion movil prepago,0,20838.0,2.0,1,pase,otro material,3,0,1,1,de 2 000 a 19 999 habitantes,0,1,0,0,0.6279172835584134,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,30110.142578125,3.0,1,conexion fija,ladrillo o bloque de cemento,3,0,2,2, de 20 000 a 49 999 habitantes,0,1,0,0,0.2694075614058122,1
1,0,conexion movil post pago control,concreto armado,9.0,conexion movil prepago,0,10832.8984375,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,0.203791667313917,1
1,0,conexion movil post pago control,concreto armado,5.0,pase,0,48708.2890625,4.0,1,conexion fija,ladrillo o bloque de cemento,4,1,2,2,de 2 000 a 19 999 habitantes,0,1,0,0,0.35210735438603485,1
0,0,,"planchas de calamina, fibra de cemento o similares",10.0,,0,8656.0,1.0,0,,triplay/calamina/estera,1,0,0,1, de 500 000 a más habitantes,0,0,0,0,0.251282324858865,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,1,10336.0634765625,1.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.5211802077735458,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,45184.9765625,3.0,1,pase,ladrillo o bloque de cemento,4,1,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.48029655801009713,1
1,0,conexion movil post pago control,madera,7.0,conexion movil prepago,0,43285.5703125,4.0,1,pase,"madera (pona, tornillo, etc)",7,2,3,0, de 500 a 1 999 habitantes,0,1,0,0,0.767931933410845,1
1,0,conexion movil post pago control,concreto armado,5.0,pase,0,37302.375,3.0,1,pase,ladrillo o bloque de cemento,3,0,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.29116387686947354,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",4.0,conexion movil prepago,0,51099.94140625,3.0,1,pase,ladrillo o bloque de cemento,4,1,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.7696165640205762,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",4.0,conexion movil prepago,0,34051.13671875,4.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.2961048508302677,1
1,0,,"planchas de calamina, fibra de cemento o similares",3.0,,0,7407.57275390625,3.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.5622873279926898,1
1,0,conexion movil post pago control,concreto armado,10.0,conexion movil prepago,0,53556.63671875,6.0,1,pase,ladrillo o bloque de cemento,6,1,1,1,de 2 000 a 19 999 habitantes,0,1,0,0,0.5539168355258188,1
