variable,target_pobreza_bin,count,mean,median,std,min,max
gru82hd2,0,1310,2.4140872955322266,0.0,54.146278381347656,0.0,1889.2701416015625
gru82hd2,1,207,0.0,0.0,0.0,0.0,0.0
gru83hd1,0,1310,0.12360879778862,0.0,2.944429636001587,0.0,83.1754150390625
gru83hd1,1,207,0.34748736023902893,0.0,4.999472618103027,0.0,71.92988586425781
gru83hd2,0,1310,68.39315032958984,0.0,278.3565673828125,0.0,5952.91796875
gru83hd2,1,207,23.350522994995117,0.0,110.87969207763672,0.0,1310.86962890625
gru83hd3,0,1310,2.8378357887268066,0.0,61.84292221069336,0.0,2063.365478515625
gru83hd3,1,207,8.660480499267578,0.0,59.63174057006836,0.0,579.7218017578125
gru83hd4,0,1310,0.03303910046815872,0.0,1.1958147287368774,0.0,43.28122329711914
gru83hd4,1,207,0.0,0.0,0.0,0.0,0.0
gru84hd,0,1310,0.16201400756835938,0.0,3.496812582015991,0.0,102.69999694824219
gru84hd,1,207,0.0,0.0,0.0,0.0,0.0
gru84hd1,0,1310,10.403554916381836,0.0,94.98454284667969,0.0,2006.2890625
gru84hd1,1,207,2.431807518005371,0.0,34.98761749267578,0.0,503.3841552734375
gru85hd1,0,1310,0.48559337854385376,0.0,13.123811721801758,0.0,426.3106384277344
gru85hd1,1,207,0.0,0.0,0.0,0.0,0.0
gru86hd1,0,1310,5.427180767059326,0.0,75.08700561523438,0.0,2114.611328125
gru86hd1,1,207,0.0,0.0,0.0,0.0,0.0
gru87hd,0,1310,0.07746218889951706,0.0,2.8036606311798096,0.0,101.47547149658203
gru87hd,1,207,0.0,0.0,0.0,0.0,0.0
ingmo1hd,0,1310,39569.878852203605,28723.0,39481.54740365858,0.0,562327.0
ingmo1hd,1,207,21535.37192406401,16741.0,22597.518014094367,0.0,255991.0
ingmo2hd,0,1310,37378.41559928137,27845.3837890625,36593.0703950623,0.0,557129.0
ingmo2hd,1,207,21199.046082427536,16713.0,22186.978133998386,0.0,255991.0
inghog2d,0,1310,47703.144053836266,37328.69921875,40532.97667906973,122.29792785644531,575652.3125
inghog2d,1,207,25000.666363554876,20055.17578125,23506.08322322386,1872.551513671875,263949.65625
gashog1d,0,1310,26265.467427907464,22286.1669921875,18623.605438720457,66.45748138427734,170377.96875
gashog1d,1,207,10929.366789444633,10570.9169921875,7114.991743671251,646.4280395507812,43658.95703125
ld,0,1310,0.8185911178588867,0.8130300045013428,0.03335099294781685,0.7330479621887207,0.8679354786872864
ld,1,207,0.8080469965934753,0.8130300045013428,0.04616006836295128,0.7330479621887207,0.8679354786872864
lineav,0,1310,669.9074096679688,667.5634765625,29.320919036865234,564.378662109375,741.1695556640625
lineav,1,207,666.7949829101562,673.157470703125,38.75217819213867,587.1947631835938,732.1589965820312
factor07,0,1310,295.9805603027344,252.81320190429688,262.8743591308594,39.098411560058594,1383.718994140625
factor07,1,207,234.7235870361328,187.89508056640625,166.4237823486328,47.92088317871094,1152.55029296875
p104,0,1304,3.3473926380368098,3.0,1.7559527383056044,1.0,12.0
p104,1,207,2.396135265700483,2.0,1.2800123410595916,1.0,7.0
p106,0,1125,455.87111111111113,280.0,484.7041566707173,10.0,3600.0
p106,1,182,127.03296703296704,80.0,115.39262312083076,10.0,635.0
n_ninos_0_5,0,1310,0.20381679389312976,0.0,0.45966483623771054,0.0,3.0
n_ninos_0_5,1,207,0.45410628019323673,0.0,0.6943391412117135,0.0,3.0
n_ninos_6_16,0,1310,0.5,0.0,0.7526373288748643,0.0,4.0
n_ninos_6_16,1,207,0.9033816425120773,1.0,1.0884825833353853,0.0,5.0
n_adultos_65_mas,0,1310,0.39923664122137403,0.0,0.6634627064906606,0.0,3.0
n_adultos_65_mas,1,207,0.3961352657004831,0.0,0.6517970238158098,0.0,2.0
edad_jefe,0,1310,52.10381679389313,52.0,15.026228175005404,19.0,98.0
edad_jefe,1,207,50.54106280193237,50.0,15.908628812994191,19.0,88.0
personas_con_mod_educ,0,1310,3.015267175572519,3.0,1.4934782225697016,1.0,9.0
personas_con_mod_educ,1,207,3.6618357487922704,4.0,1.7903849214806666,1.0,9.0
n_6_16_total,0,1310,0.4816793893129771,0.0,0.735989745535644,0.0,4.0
n_6_16_total,1,207,0.9033816425120773,1.0,1.0884825833353853,0.0,5.0
n_6_16_matriculados,0,1310,0.4267175572519084,0.0,0.6917967911361445,0.0,4.0
n_6_16_matriculados,1,207,0.7971014492753623,0.0,1.0508393798670863,0.0,4.0
n_6_16_no_matriculados,0,1310,0.0549618320610687,0.0,0.28994183986694055,0.0,4.0
n_6_16_no_matriculados,1,207,0.09178743961352658,0.0,0.35014586868337316,0.0,2.0
n_6_16_no_asisten,0,1310,0.05267175572519084,0.0,0.2699144657756594,0.0,2.0
n_6_16_no_asisten,1,207,0.05314009661835749,0.0,0.24549789844668377,0.0,2.0
any_6_16_no_matriculados,0,1310,0.04198473282442748,0.0,0.20063086083227905,0.0,1.0
any_6_16_no_matriculados,1,207,0.07246376811594203,0.0,0.2598827543546802,0.0,1.0
any_6_16_no_asisten,0,1310,0.04122137404580153,0.0,0.19887776399745002,0.0,1.0
any_6_16_no_asisten,1,207,0.04830917874396135,0.0,0.21493855763012468,0.0,1.0
personas_con_mod_salud,0,1310,3.0900763358778627,3.0,1.5466692057644067,1.0,9.0
personas_con_mod_salud,1,207,3.8792270531400965,4.0,1.8433568423386217,1.0,10.0
miembros_con_sintoma_4w,0,1310,1.415267175572519,1.0,1.2465673743767798,0.0,8.0
miembros_con_sintoma_4w,1,207,1.7004830917874396,1.0,1.4770574784400359,0.0,7.0
miembros_con_enfermedad_4w,0,1310,0.7740458015267175,0.0,1.0765638534341277,0.0,8.0
miembros_con_enfermedad_4w,1,207,1.1256038647342994,1.0,1.323305473538015,0.0,7.0
miembros_sin_atencion_salud,0,1310,3.0900763358778627,3.0,1.5466692057644067,1.0,9.0
miembros_sin_atencion_salud,1,207,3.8792270531400965,4.0,1.8433568423386217,1.0,10.0
miembros_afiliados_essalud,0,1310,1.036641221374046,0.0,1.3535571846929118,0.0,7.0
miembros_afiliados_essalud,1,207,0.391304347826087,0.0,0.9433063824625577,0.0,5.0
any_sintoma_4w,0,1310,0.7343511450381679,1.0,0.4418467723795751,0.0,1.0
any_sintoma_4w,1,207,0.7729468599033816,1.0,0.4199427978583532,0.0,1.0
any_enfermedad_4w,0,1310,0.4618320610687023,0.0,0.49873147185501243,0.0,1.0
any_enfermedad_4w,1,207,0.5748792270531401,1.0,0.4955597599022252,0.0,1.0
personas_con_mod_empleo,0,1310,2.545801526717557,2.0,1.228249080900982,1.0,7.0
personas_con_mod_empleo,1,207,2.743961352657005,2.0,1.3499909235416228,1.0,9.0
miembros_con_ingreso_laboral,0,1310,1.4961832061068703,1.0,0.940344733054233,0.0,6.0
miembros_con_ingreso_laboral,1,207,1.4106280193236715,1.0,1.0336489666232915,0.0,6.0
jefe_con_ingreso_laboral,0,1310,0.767175572519084,1.0,0.42279269935718206,0.0,1.0
jefe_con_ingreso_laboral,1,207,0.6811594202898551,1.0,0.4671568713215757,0.0,1.0
any_ingreso_laboral_hogar,0,1310,0.8893129770992366,1.0,0.3138639909213687,0.0,1.0
any_ingreso_laboral_hogar,1,207,0.8405797101449275,1.0,0.36695500130721964,0.0,1.0
sexo_jefe_bin,0,1310,0.6061068702290077,1.0,0.48879823711496506,0.0,1.0
sexo_jefe_bin,1,207,0.6183574879227053,1.0,0.48696724210461967,0.0,1.0
educ_jefe_ord,0,1310,6.353435114503816,6.0,2.411355796576113,1.0,11.0
educ_jefe_ord,1,207,4.768115942028985,5.0,1.8339695993517882,1.0,11.0
tam_hogar,0,1310,3.06793893129771,3.0,1.536157895877023,1.0,9.0
tam_hogar,1,207,3.8743961352657004,4.0,1.8417149821090115,1.0,10.0
num_perceptores,0,1310,1.998473282442748,2.0,0.9965551614883852,0.0,7.0
num_perceptores,1,207,1.9758454106280192,2.0,1.0069641653778194,0.0,6.0
gasto_hogar,0,1310,35368.957702543536,30754.142578125,22569.12997277266,4687.45947265625,188763.21875
gasto_hogar,1,207,14267.003846689124,13812.4755859375,7949.49148845801,1463.9244384765625,49314.65625
piso_precario,0,1310,0.06946564885496183,0.0,0.2543414119307296,0.0,1.0
piso_precario,1,207,0.23671497584541062,0.0,0.4260963368415421,0.0,1.0
acceso_agua_red,0,1310,0.7816793893129771,1.0,0.4132639513232914,0.0,1.0
acceso_agua_red,1,207,0.6376811594202898,1.0,0.48183552241685834,0.0,1.0
agua_potable_reportada,0,1310,0.8061068702290076,1.0,0.3954971391074088,0.0,1.0
agua_potable_reportada,1,207,0.6908212560386473,1.0,0.46327538197705637,0.0,1.0
agua_disponible_diaria,0,1310,0.7564885496183206,1.0,0.42936505729739355,0.0,1.0
agua_disponible_diaria,1,207,0.6666666666666666,1.0,0.47254732130632826,0.0,1.0
agua_segura_proxy,0,1310,0.7404580152671756,1.0,0.43855074645045733,0.0,1.0
